Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-100002,2024-10-16,2024-10-17,Standard Class,CUST-1604,Customer_433,Consumer,USA,New York,New York,East,PROD-130,Office Supplies,Paper,Copy Paper,259.99,5,0,60.87
ORD-100003,2023-04-06,2023-04-08,Same Day,CUST-1225,Customer_460,Home Office,USA,Los Angeles,California,West,PROD-384,Office Supplies,Binders,Binder,570.02,1,0.3,86.91
ORD-100004,2023-01-07,2023-01-14,First Class,CUST-1104,Customer_95,Corporate,USA,Los Angeles,California,West,PROD-199,Office Supplies,Paper,Copy Paper,353.45,7,0,36.7
ORD-100005,2024-01-03,2024-01-10,Standard Class,CUST-1996,Customer_388,Consumer,USA,Chicago,Illinois,Central,PROD-665,Office Supplies,Binders,Binder,810.99,5,0.3,85.04
ORD-100006,2023-10-28,2023-11-04,Second Class,CUST-1791,Customer_297,Consumer,USA,Boston,Massachusetts,East,PROD-975,Office Supplies,Binders,Binder,585.81,6,0.3,4.33
ORD-100007,2023-08-27,2023-09-03,First Class,CUST-1214,Customer_687,Corporate,USA,New York,New York,East,PROD-818,Furniture,Tables,Study Table,464.34,5,0,42.1
ORD-100008,2024-11-30,2024-12-06,Same Day,CUST-1276,Customer_656,Home Office,USA,New York,New York,East,PROD-670,Office Supplies,Binders,Binder,543.46,3,0,49.37
ORD-100009,2023-08-13,2023-08-19,Standard Class,CUST-1216,Customer_581,Home Office,USA,Chicago,Illinois,Central,PROD-422,Technology,Phones,Smartphone,825.37,4,0,124.05
ORD-100010,2023-08-06,2023-08-12,First Class,CUST-1764,Customer_599,Corporate,USA,Houston,Texas,South,PROD-697,Furniture,Tables,Study Table,160.01,8,0,17.87
ORD-100011,2024-02-13,2024-02-16,Second Class,CUST-1642,Customer_164,Home Office,USA,Los Angeles,California,West,PROD-532,Technology,Accessories,Wireless Mouse,109.09,8,0,28.94
ORD-100012,2024-09-02,2024-09-03,Standard Class,CUST-1696,Customer_739,Consumer,USA,Houston,Texas,South,PROD-798,Furniture,Tables,Study Table,538.53,8,0.2,121.27
ORD-100013,2024-07-03,2024-07-10,Standard Class,CUST-1976,Customer_740,Home Office,USA,Chicago,Illinois,Central,PROD-369,Office Supplies,Paper,Copy Paper,129.32,6,0.1,8.99
ORD-100014,2024-05-27,2024-06-03,Second Class,CUST-1156,Customer_383,Consumer,USA,Los Angeles,California,West,PROD-652,Office Supplies,Binders,Binder,873.11,2,0,227.37
